id,size,length,shoulder,chest,hip,stock
1,small,38,14,19,22,14
1,medium,38,14.5,20,23,26
1,large,39,15,21,24,34
2,Xsmall,38,14,18.5,21.5,37
2,small,39,14.5,19.5,22.5,45
2,medium,39,15,20.5,23.5,14
2,large,40,15.5,21.5,24.5,9
2,Xlarge,40,16,23,26,19
3,small,40,14.5,19.5,22.5,15
3,medium,40,15,20.5,23.5,41
3,Xlarge,41,16,23,26,15
4,medium,39,15,20.5,,10
4,large,40,15.5,21.5,,37
5,small,40,14,19,23,23
5,medium,40,14.5,20,24,44
5,large,41,15,21,25,47
5,Xlarge,42,15.5,22.5,26.5,13
6,Xsmall,37,14.5,18,,26
6,small,38,15,19,,30
6,medium,38,15.5,20,,8
6,large,39,16,21,,6
6,Xlarge,39,16.5,22.5,,43
7,Xsmall,41,13.5,18,24,35
7,small,42,14,19,25,34
7,medium,42,14.5,20,26,30
7,large,43,15,21,27,45
7,Xlarge,43,15.5,22.5,28.5,14
8,small,34,20,20,22,35
8,medium,35,21,21,23,3
8,large,37,22,22,24,8
8,Xlarge,37,23,23,25,9
9,Xsmall,43,14,18.5,21.5,35
9,small,43,14.5,19.5,22.5,50
9,medium,43,15,20.5,23.5,37
10,Xsmall,43,13.5,18,21,15
10,small,43,14,19,22,9
10,medium,43,14.5,20,23,40
10,large,43,15,21,24,49
11,Xsmall,39,13.5,18,21,1
11,small,40,14,19,22,37
11,medium,40,14.5,20,23,34
11,large,41,15,21,24,3
11,Xlarge,41,15.5,22.5,25.5,49
12,small,42,15.5,20,22,7
12,medium,42,16,21,23,34
12,large,42,16.5,22,24,47
13,small,44,14.5,19.5,22.5,41
13,medium,44,15,20.5,23.5,5
13,large,45,15.5,21.5,24.5,27
14,small,42,14.5,19.5,22.5,23
14,medium,42,15,20.5,23.5,36
14,large,42,15.5,21.5,24.5,38
15,small,41,14.5,19.5,22.5,14
15,medium,41,15,20.5,23.5,43
15,large,41,15.5,21.5,24.5,1
15,Xlarge,41,16,23,26,8
16,small,41,14.5,19.5,22.5,33
16,medium,41,15,20.5,23.5,12
16,large,42,15.5,21.5,24.5,22
16,Xlarge,42,16,23,26,26
17,small,41,14.5,19.5,22.5,29
17,medium,41,15,20.5,23.5,24
17,large,41,15.5,21.5,24.5,43
17,Xlarge,41,16,23,26,29
18,small,40,14,19,22,27
18,medium,40,14.5,20,23,3
18,large,40,15,21,24,16
18,Xlarge,40,15.5,22.5,22.5,12
